Species,C,H,N,Ratio
Adenanthera malayana,49.64,5.93,1.89,26.26455026
Adenanthera malayana,45.58,6.89,2.61,17.46360153
Adenanthera malayana,49.67,6.37,1.82,27.29120879
Archidendron clypearia,51.28,5.7,1.81,28.33149171
Archidendron clypearia,51.25,6.01,1.8,28.47222222
Bauhinia semibifida,46.68,5.8,1.09,42.82568807
Bauhinia semibifida,46.51,5.44,1.11,41.9009009
Bhesa paniculata,48.16,5.74,1.79,26.90502793
Bhesa paniculata,43.76,5.29,1.72,25.44186047
Buchanania sessifolia,45.99,5.43,0.89,51.6741573
Buchanania sessifolia,45.3,5.39,0.92,49.23913043
Campnosperma squamatum,46.02,5.73,0.7,65.74285714
Campnosperma squamatum,46.13,5.01,0.7,65.9
Canarium pilosum,41.02,5.45,0.99,41.43434343
Canarium pilosum,40.43,4.98,1.06,38.14150943
Dalbergia pseudo-sissoo,49.19,5.93,1.43,34.3986014
Dalbergia pseudo-sissoo,49.28,5.82,1.41,34.95035461
Diospyros maingayi,49.81,5.58,0.83,60.01204819
Diospyros maingayi,49.94,5.47,0.84,59.45238095
Dysoxylum cauliflorum,47.03,5.85,1.25,37.624
Dysoxylum cauliflorum,47.36,6.01,1.26,37.58730159
Elaeocarpus stipularis,48.89,5.23,1.03,47.46601942
